timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1518027234512,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027235521,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027236520,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027237521,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027238522,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027239524,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027240524,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027241524,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027242524,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027243534,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027244535,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027245538,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027246539,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027247552,12000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027248552,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027249553,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027250557,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027251557,11000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027252557,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027253569,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027254569,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027255569,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027256569,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027257569,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027258569,6000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027259568,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027260577,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027261577,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027262577,10000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027263577,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027264577,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027265584,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027266585,11000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027267589,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027268589,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027269589,6000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027270589,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027271594,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027272597,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027273597,12000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027274597,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027275597,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027276610,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027277610,18000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027278610,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027279610,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027280618,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027281618,13000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027282649,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027283653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027284653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027285653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027286653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027287653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027288653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027289653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027290652,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027291653,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027292656,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027293655,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027294655,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027295655,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027296655,10000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027297655,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027298655,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027299678,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027300751,12000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027301751,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027302751,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027303751,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027304755,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027305755,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027306755,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027307769,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027308769,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027309769,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027310783,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027311783,9000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027312796,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027313796,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027314796,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027315811,16000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027316816,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027317817,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027318824,4000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027319824,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027320824,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027321824,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027322825,6000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027323846,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027324852,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027325852,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027326852,20000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027327853,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027328869,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027329875,4000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027330937,15000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027331937,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027332942,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027333942,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027334958,8000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027335966,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027336966,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027337966,13000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027338967,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027339981,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027340981,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027341983,26000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027342983,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027343983,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027344983,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027345983,9000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027346983,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027347986,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027348985,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027349985,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027350985,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027351985,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027352985,4000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027353987,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027354987,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027355987,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027356987,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027357987,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027358987,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027359990,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027360990,12000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027361990,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027363037,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027364040,19000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027365041,31000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027366045,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027367044,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027368062,5000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027369062,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027370063,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027371072,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027372072,15000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027373072,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027374072,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027375072,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027376072,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027377072,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027378082,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027379082,10000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027380082,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027381115,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027382115,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027383130,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027384131,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027385131,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027386138,10000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027387138,23000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027388138,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027389200,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027390204,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027391204,6000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027392204,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027393206,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027394206,13000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027395206,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027396206,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027397223,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027398234,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027399234,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027400266,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027401279,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027402279,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027403295,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027404307,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027405307,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027406307,8000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027407307,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027408307,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027409308,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027410308,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027411308,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027412308,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027413308,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027414308,27000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027415311,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027416311,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027417311,7000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027418311,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027419311,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027420342,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027421354,16000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027422354,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027423355,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027424355,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027425363,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027426410,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027427421,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027428421,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027429421,20000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027430421,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027431468,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027432468,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027433487,11000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027434526,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027435540,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027436540,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027437603,16000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027438603,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027439613,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027440613,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027441613,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027442613,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027443621,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027444621,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027445622,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027446631,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027447678,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027448684,10000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027449684,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027450686,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027451686,4000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027452686,14000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027453686,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027454686,5000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027455686,4000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027456686,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027457686,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027458709,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027459713,14000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027460713,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027461720,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027462720,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027463720,9000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027464720,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027465720,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027466720,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027467720,9000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027468720,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027469720,3000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027470721,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027471721,17000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027472721,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027473721,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027474721,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027475721,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027476722,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027477722,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027478722,5000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027479727,6000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027480727,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027481727,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027482729,12000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027483729,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027484729,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027485729,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027486730,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027487746,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027488746,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027489746,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027490746,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027491809,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027492809,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027493810,12000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027494864,2000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027495864,1000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027496865,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027497866,10000,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027498866,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
1518027499866,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,0,0,0
